model_key,prompt_id,variant_type,seed,language,language_name,phash_distance_to_en,ssim_to_en,structural_drift_to_en,hist_l1_to_en
absolutereality_v16,S10_base,base,2026051802,en,English,0.0,1.0,0.0,0.0
absolutereality_v16,S10_base,base,2026051802,zh,Chinese,0.40625,0.03775374028632986,0.9622462597136702,1.81256103515625
absolutereality_v16,S10_base,base,2026051802,hi,Hindi,0.40625,0.33507942085615494,0.6649205791438451,1.392059326171875
absolutereality_v16,S10_base,base,2026051802,es,Spanish,0.28125,0.4007595441487522,0.5992404558512479,1.03033447265625
absolutereality_v16,S10_base,base,2026051802,fr,French,0.4375,0.5436299723982284,0.4563700276017716,0.895172119140625
dreamshaper8,S01_attribute_swap,attribute_swap,2026051801,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S01_attribute_swap,attribute_swap,2026051801,zh,Chinese,0.3125,0.21297111607480004,0.7870288839252,1.19134521484375
dreamshaper8,S01_attribute_swap,attribute_swap,2026051801,hi,Hindi,0.34375,0.13386744661492567,0.8661325533850743,1.647125244140625
dreamshaper8,S01_attribute_swap,attribute_swap,2026051801,es,Spanish,0.34375,0.4775305522991315,0.5224694477008685,1.611419677734375
dreamshaper8,S01_attribute_swap,attribute_swap,2026051801,fr,French,0.40625,0.3832581593351692,0.6167418406648308,1.5648193359375
dreamshaper8,S01_attribute_swap,attribute_swap,2026051802,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S01_attribute_swap,attribute_swap,2026051802,zh,Chinese,0.40625,0.4169969260263452,0.5830030739736548,1.849700927734375
dreamshaper8,S01_attribute_swap,attribute_swap,2026051802,hi,Hindi,0.375,0.30987976550709534,0.6901202344929047,1.337738037109375
dreamshaper8,S01_attribute_swap,attribute_swap,2026051802,es,Spanish,0.3125,0.47328211602177156,0.5267178839782285,1.5054931640625
dreamshaper8,S01_attribute_swap,attribute_swap,2026051802,fr,French,0.34375,0.4525025167303047,0.5474974832696953,1.54852294921875
dreamshaper8,S01_base,base,2026051801,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S01_base,base,2026051801,zh,Chinese,0.375,0.28809512021074685,0.7119048797892531,1.90032958984375
dreamshaper8,S01_base,base,2026051801,hi,Hindi,0.375,0.28465002954133617,0.7153499704586639,1.410919189453125
dreamshaper8,S01_base,base,2026051801,es,Spanish,0.21875,0.6865679088118987,0.31343209118810134,1.58978271484375
dreamshaper8,S01_base,base,2026051801,fr,French,0.4375,-0.3234573151372983,1.3234573151372984,1.54644775390625
dreamshaper8,S01_base,base,2026051802,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S01_base,base,2026051802,zh,Chinese,0.28125,0.5098165589085338,0.49018344109146617,1.865997314453125
dreamshaper8,S01_base,base,2026051802,hi,Hindi,0.34375,0.2746588698071979,0.7253411301928021,1.60614013671875
dreamshaper8,S01_base,base,2026051802,es,Spanish,0.28125,0.6201819371281678,0.3798180628718322,1.391998291015625
dreamshaper8,S01_base,base,2026051802,fr,French,0.34375,0.17656141564193797,0.823438584358062,1.5474853515625
dreamshaper8,S02_word_order,word_order,2026051801,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S02_word_order,word_order,2026051801,zh,Chinese,0.40625,0.22924316595765237,0.7707568340423476,1.990966796875
dreamshaper8,S02_word_order,word_order,2026051801,hi,Hindi,0.46875,0.156677257515131,0.843322742484869,1.896240234375
dreamshaper8,S02_word_order,word_order,2026051801,es,Spanish,0.34375,0.5087662071886523,0.4912337928113477,1.803619384765625
dreamshaper8,S02_word_order,word_order,2026051801,fr,French,0.34375,0.37429384639474517,0.6257061536052548,1.80584716796875
dreamshaper8,S02_word_order,word_order,2026051802,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S02_word_order,word_order,2026051802,zh,Chinese,0.34375,0.1440345070731446,0.8559654929268554,1.86920166015625
dreamshaper8,S02_word_order,word_order,2026051802,hi,Hindi,0.375,0.447047681602419,0.5529523183975811,1.663665771484375
dreamshaper8,S02_word_order,word_order,2026051802,es,Spanish,0.3125,0.6666580371073003,0.3333419628926997,1.595672607421875
dreamshaper8,S02_word_order,word_order,2026051802,fr,French,0.46875,0.23983069319919698,0.7601693068008031,1.748626708984375
dreamshaper8,S03_base,base,2026051801,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S03_base,base,2026051801,zh,Chinese,0.40625,0.11237209903779706,0.8876279009622029,1.824249267578125
dreamshaper8,S03_base,base,2026051801,hi,Hindi,0.46875,0.04560333206665273,0.9543966679333473,1.786773681640625
dreamshaper8,S03_base,base,2026051801,es,Spanish,0.3125,0.39465634678814754,0.6053436532118525,1.172149658203125
dreamshaper8,S03_base,base,2026051801,fr,French,0.34375,0.4999106119654836,0.5000893880345164,1.16241455078125
dreamshaper8,S03_base,base,2026051802,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S03_base,base,2026051802,zh,Chinese,0.375,0.44994266411556416,0.5500573358844358,1.49945068359375
dreamshaper8,S03_base,base,2026051802,hi,Hindi,0.46875,0.21805805425519098,0.781941945744809,1.4969482421875
dreamshaper8,S03_base,base,2026051802,es,Spanish,0.4375,0.6397224710163326,0.3602775289836674,1.359619140625
dreamshaper8,S03_base,base,2026051802,fr,French,0.34375,0.7547658975141942,0.2452341024858058,1.30120849609375
dreamshaper8,S04_word_order,word_order,2026051801,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S04_word_order,word_order,2026051801,zh,Chinese,0.46875,0.18271940261317826,0.8172805973868218,1.91265869140625
dreamshaper8,S04_word_order,word_order,2026051801,hi,Hindi,0.375,0.1789481536832577,0.8210518463167423,1.848785400390625
dreamshaper8,S04_word_order,word_order,2026051801,es,Spanish,0.59375,0.018598061263720427,0.9814019387362796,1.83306884765625
dreamshaper8,S04_word_order,word_order,2026051801,fr,French,0.4375,0.198773765318177,0.801226234681823,0.733673095703125
dreamshaper8,S04_word_order,word_order,2026051802,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S04_word_order,word_order,2026051802,zh,Chinese,0.3125,0.6104773358294224,0.38952266417057757,1.692718505859375
dreamshaper8,S04_word_order,word_order,2026051802,hi,Hindi,0.25,0.38185197425638673,0.6181480257436133,0.92584228515625
dreamshaper8,S04_word_order,word_order,2026051802,es,Spanish,0.375,0.44238579314517773,0.5576142068548222,0.913787841796875
dreamshaper8,S04_word_order,word_order,2026051802,fr,French,0.25,0.8076969680930679,0.1923030319069321,0.716064453125
dreamshaper8,S05_base,base,2026051801,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S05_base,base,2026051801,zh,Chinese,0.46875,-0.025385003195751783,1.0253850031957519,1.95428466796875
dreamshaper8,S05_base,base,2026051801,hi,Hindi,0.4375,0.13813679351054917,0.8618632064894508,1.99554443359375
dreamshaper8,S05_base,base,2026051801,es,Spanish,0.5,0.513432160557457,0.486567839442543,1.78839111328125
dreamshaper8,S05_base,base,2026051801,fr,French,0.40625,0.6159975258436877,0.3840024741563123,1.738037109375
dreamshaper8,S05_base,base,2026051802,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S05_base,base,2026051802,zh,Chinese,0.5,0.30545379999905276,0.6945462000009472,1.2467041015625
dreamshaper8,S05_base,base,2026051802,hi,Hindi,0.5,0.26164954782216876,0.7383504521778312,1.66412353515625
dreamshaper8,S05_base,base,2026051802,es,Spanish,0.5,0.42672168043313763,0.5732783195668624,1.13238525390625
dreamshaper8,S05_base,base,2026051802,fr,French,0.09375,0.8134030888600491,0.18659691113995092,1.145233154296875
dreamshaper8,S05_quantity_shift,quantity_shift,2026051801,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S05_quantity_shift,quantity_shift,2026051801,zh,Chinese,0.4375,0.001263949397290823,0.9987360506027092,1.9993896484375
dreamshaper8,S05_quantity_shift,quantity_shift,2026051801,hi,Hindi,0.4375,0.2419860685038438,0.7580139314961563,1.89691162109375
dreamshaper8,S05_quantity_shift,quantity_shift,2026051801,es,Spanish,0.3125,0.5252254165557082,0.4747745834442918,1.770233154296875
dreamshaper8,S05_quantity_shift,quantity_shift,2026051801,fr,French,0.375,0.7958084223537588,0.20419157764624118,0.5950927734375
dreamshaper8,S05_quantity_shift,quantity_shift,2026051802,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S05_quantity_shift,quantity_shift,2026051802,zh,Chinese,0.40625,0.3816082889651051,0.6183917110348949,1.180938720703125
dreamshaper8,S05_quantity_shift,quantity_shift,2026051802,hi,Hindi,0.3125,0.3106653216819561,0.6893346783180438,1.546630859375
dreamshaper8,S05_quantity_shift,quantity_shift,2026051802,es,Spanish,0.4375,0.3283238488995978,0.6716761511004021,1.4666748046875
dreamshaper8,S05_quantity_shift,quantity_shift,2026051802,fr,French,0.25,0.6609460128924954,0.33905398710750456,0.901763916015625
dreamshaper8,S06_quantity_shift,quantity_shift,2026051801,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S06_quantity_shift,quantity_shift,2026051801,zh,Chinese,0.4375,-0.03568619248692267,1.0356861924869227,1.779571533203125
dreamshaper8,S06_quantity_shift,quantity_shift,2026051801,hi,Hindi,0.5625,0.14999621437691002,0.85000378562309,1.673675537109375
dreamshaper8,S06_quantity_shift,quantity_shift,2026051801,es,Spanish,0.375,0.6378957064286449,0.3621042935713551,1.015045166015625
dreamshaper8,S06_quantity_shift,quantity_shift,2026051801,fr,French,0.40625,0.5265768732742526,0.4734231267257474,1.180694580078125
dreamshaper8,S06_quantity_shift,quantity_shift,2026051802,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S06_quantity_shift,quantity_shift,2026051802,zh,Chinese,0.375,0.3872361169018301,0.6127638830981699,1.967864990234375
dreamshaper8,S06_quantity_shift,quantity_shift,2026051802,hi,Hindi,0.40625,0.43422496731348603,0.565775032686514,1.61578369140625
dreamshaper8,S06_quantity_shift,quantity_shift,2026051802,es,Spanish,0.25,0.5936727854685037,0.40632721453149634,1.411102294921875
dreamshaper8,S06_quantity_shift,quantity_shift,2026051802,fr,French,0.1875,0.5702221954778617,0.4297778045221383,1.608489990234375
dreamshaper8,S07_attribute_swap,attribute_swap,2026051801,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S07_attribute_swap,attribute_swap,2026051801,zh,Chinese,0.375,0.10692836114486907,0.893071638855131,1.906646728515625
dreamshaper8,S07_attribute_swap,attribute_swap,2026051801,hi,Hindi,0.5,0.13360470943937064,0.8663952905606294,1.306304931640625
dreamshaper8,S07_attribute_swap,attribute_swap,2026051801,es,Spanish,0.46875,0.08102812993002487,0.9189718700699752,1.590301513671875
dreamshaper8,S07_attribute_swap,attribute_swap,2026051801,fr,French,0.4375,0.09534005853651667,0.9046599414634833,1.330352783203125
dreamshaper8,S07_attribute_swap,attribute_swap,2026051802,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S07_attribute_swap,attribute_swap,2026051802,zh,Chinese,0.4375,0.2153142425579833,0.7846857574420167,1.746978759765625
dreamshaper8,S07_attribute_swap,attribute_swap,2026051802,hi,Hindi,0.46875,0.05475904374707459,0.9452409562529254,0.81927490234375
dreamshaper8,S07_attribute_swap,attribute_swap,2026051802,es,Spanish,0.40625,0.24269125555807977,0.7573087444419202,1.219879150390625
dreamshaper8,S07_attribute_swap,attribute_swap,2026051802,fr,French,0.28125,0.38348169235241303,0.616518307647587,1.0626220703125
dreamshaper8,S08_word_order,word_order,2026051801,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S08_word_order,word_order,2026051801,zh,Chinese,0.46875,0.2624163152063215,0.7375836847936785,1.97113037109375
dreamshaper8,S08_word_order,word_order,2026051801,hi,Hindi,0.40625,0.04643411651281606,0.953565883487184,1.1590576171875
dreamshaper8,S08_word_order,word_order,2026051801,es,Spanish,0.375,0.42346797707222,0.5765320229277799,1.59197998046875
dreamshaper8,S08_word_order,word_order,2026051801,fr,French,0.34375,0.41830139061457217,0.5816986093854278,1.724212646484375
dreamshaper8,S08_word_order,word_order,2026051802,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S08_word_order,word_order,2026051802,zh,Chinese,0.4375,0.5947522211614595,0.40524777883854046,1.34930419921875
dreamshaper8,S08_word_order,word_order,2026051802,hi,Hindi,0.40625,0.19918104173166187,0.8008189582683382,1.4349365234375
dreamshaper8,S08_word_order,word_order,2026051802,es,Spanish,0.34375,0.6589948096332356,0.34100519036676435,0.915863037109375
dreamshaper8,S08_word_order,word_order,2026051802,fr,French,0.4375,0.6469069899929172,0.3530930100070828,0.71563720703125
dreamshaper8,S09_negation_rephrase,negation_rephrase,2026051801,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S09_negation_rephrase,negation_rephrase,2026051801,zh,Chinese,0.4375,0.38532722598023555,0.6146727740197644,1.710052490234375
dreamshaper8,S09_negation_rephrase,negation_rephrase,2026051801,hi,Hindi,0.375,0.017473642906908508,0.9825263570930914,1.737091064453125
dreamshaper8,S09_negation_rephrase,negation_rephrase,2026051801,es,Spanish,0.5,0.3875336030984382,0.6124663969015618,1.6126708984375
dreamshaper8,S09_negation_rephrase,negation_rephrase,2026051801,fr,French,0.5625,0.4278813666949755,0.5721186333050245,1.484954833984375
dreamshaper8,S09_negation_rephrase,negation_rephrase,2026051802,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S09_negation_rephrase,negation_rephrase,2026051802,zh,Chinese,0.53125,0.38809012911907154,0.6119098708809285,1.651275634765625
dreamshaper8,S09_negation_rephrase,negation_rephrase,2026051802,hi,Hindi,0.40625,0.2981748261594878,0.7018251738405121,1.19232177734375
dreamshaper8,S09_negation_rephrase,negation_rephrase,2026051802,es,Spanish,0.375,0.503565769216609,0.496434230783391,1.34832763671875
dreamshaper8,S09_negation_rephrase,negation_rephrase,2026051802,fr,French,0.4375,0.4195380851830385,0.5804619148169615,1.603973388671875
dreamshaper8,S10_base,base,2026051801,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S10_base,base,2026051801,zh,Chinese,0.53125,-0.009015772810369763,1.0090157728103697,1.99993896484375
dreamshaper8,S10_base,base,2026051801,hi,Hindi,0.40625,0.051714495497477565,0.9482855045025225,1.707305908203125
dreamshaper8,S10_base,base,2026051801,es,Spanish,0.375,0.37490903821635085,0.6250909617836491,1.291229248046875
dreamshaper8,S10_base,base,2026051801,fr,French,0.28125,0.6382203054356774,0.3617796945643226,0.7410888671875
dreamshaper8,S10_base,base,2026051802,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S10_base,base,2026051802,zh,Chinese,0.5,0.05257436132469622,0.9474256386753038,1.766021728515625
dreamshaper8,S10_base,base,2026051802,hi,Hindi,0.375,0.27142855193648535,0.7285714480635146,1.4356689453125
dreamshaper8,S10_base,base,2026051802,es,Spanish,0.34375,0.2302562043641876,0.7697437956358124,0.97119140625
dreamshaper8,S10_base,base,2026051802,fr,French,0.28125,0.5560371301225281,0.4439628698774719,0.983734130859375
